Company Name,Company Website
Akula - East Stand 8,https://akulaliving.com/
Booking.com - West Stand 11,https://news.booking.com/
Cargo Crew - West Stand 10,https://www.cargocrew.com.au/
Ecolab - East Stand 10,https://www.ecolab.com/
ESG PLUS - East Stand 2,https://esgplus.com.au/
Evolv Building Technologies & VDA Telkonet - East Stand 6,Evolv%20Building Technologies
Flexkeeping - West Stand 9,https://www.flexkeeping.com/
hub OS / Mulpha Australia,https://www.mulpha.com.au/
IDeaS Revenue Solutions - West Stand 13,https://ideas.com/
Koala - West Stand 4,https://koala.com/en-au/business-commercial
Montague - West Stand 5,https://www.williammontague.com/
Ozone Hospitality Services - East Stand 7,https://www.ozonehospitalityservices.com.au/
ROOM - West Stand 1,https://room.design/
Signature Floors - West Stand 14,https://www.signaturefloors.com.au/commercial/signature-studio/
South Australian Tourism Commission - East Stand 11,https://invest.sa.gov.au/
Vingcard – ASSA ABLOY - West Stand 12,https://www.vingcard.com/en/campaign-pages/welcome-to-vingcard
Vintech - West Stand 19,https://vintech.com.au/
